22 2000
9 -22 -1
9 3 -9
-8 9 -5
11 -1 22
-17 -12 -9
4 22 7
11 5 -21
19 -4 5
10 2 -11
-16 -14 13
17 1 -9
-21 -12 -10
-17 -18 7
8 17 -13
8 -5 -20
13 -2 -1
-6 -3 -1
21 5 -17
-14 3 15
10 -19 -17
19 -11 -9
2 14 15
-22 -14 -19
-11 -21 -3
2 -14 -13
3 -19 -10
8 12 -9
16 20 -3
2 13 -17
1 -22 3
-8 -7 -14
2 18 3
-14 -22 13
-15 -12 -7
-14 3 -18
-3 21 22
-16 8 -12
19 -4 6
8 1 -18
-15 -22 17
21 -2 15
11 8 3
15 -18 -9
-14 -5 15
-13 14 -9
-7 -22 -11
-8 -14 -17
-15 -20 6
17 19 -1
17 -5 4
17 2 20
-22 -10 -17
19 -10 15
19 -12 -10
10 -13 20
-16 -15 19
3 -4 4
16 20 15
8 -8 5
9 -13 17
-14 -20 22
10 -17 7
-16 -13 -3
19 -12 -21
-14 -2 15
-16 -6 -2
8 10 4
-16 12 -17
19 -12 -18
8 -6 -10
5 14 6
1 10 -18
16 -5 -20
-5 -11 -9
-8 -15 -14
19 18 -6
18 5 -2
17 -21 -20
-8 -20 -12
-6 6 -1
4 -10 7
18 19 -1
16 19 4
2 3 7
18 22 -9
21 5 -9
1 4 12
-22 19 5
17 -11 -18
2 11 6
-21 -11 -17
13 -3 6
-13 14 -21
-16 -15 4
8 -8 1
-6 19 12
1 -5 -3
-7 -19 -1
8 9 12
11 21 15
-6 -21 6
1 19 -1
-15 18 7
9 10 -12
19 -2 -10
18 3 -12
16 9 13
1 -5 -9
12 -19 -18
9 12 -4
-12 6 15
19 6 -10
16 19 -4
10 13 22
-6 12 -2
-7 19 -4
-12 5 -17
19 -20 -10
-11 -21 -19
-16 -22 19
8 -14 -13
11 13 14
17 21 14
-15 10 13
-15 14 6
2 12 -3
18 -21 -18
-21 -12 15
-16 18 -19
16 9 -13
-14 -18 7
-21 -1 22
16 21 22
-4 13 22
5 -19 -9
-22 12 21
12 -3 14
-13 21 -2
